database,type,year,itle,authors,keywords,pages,abstract
SPRINGERLINK,Chapter,2021,A Formalisation of SysML State Machines in mCRL2,Mark BouwmanBas LuttikDjurre van der Wal,,10,"This paper reports on a formalisation of the semi-formal modelling language SysML in the formal language mCRL2, in order to unlock formal verification and model-based testing using the mCRL2 toolset for SysML models. The formalisation focuses on a fragment of SysML used in the railway standardisation project EULYNX. It comprises the semantics of state machines, communication between objects via ports, and an action language called ASAL. It turns out that the generic execution model of SysML state machines can be elegantly specified using the rich data and process languages of mCRL2. This is a big step towards an automated translation as the generic model can be configured with a formal description of a specific set of state machines in a straightforward manner."
SPRINGERLINK,Chapter,2021,Formal Analysis of the UNISIG Safety Application Intermediate Sub-layer,Davide BasileAlessandro FantechiIrene Rosadi,,10,"The combined use of standard interfaces and formal methods is currently under investigation by Shift2Rail, a joint undertaking between railway stakeholders and the EU. Standard interfaces are useful to increase market competition and standardization whilst reducing long-term life cycle costs. Formal methods are needed to achieve interoperability and safety of standard interfaces and are one of the targets of the 4SECURail project funded by Shift2Rail. This paper presents the modelling and analysis of the selected case study of the 4SECURail project: the Safe Application Intermediate sub-layer of the UNISIG RBC/RBC Safe Communication Interface. The adopted formal method is Statistical Model Checking of a network of Stochastic Priced Timed Automata, as provided by the Uppaal SMC tool. The main contributions are: (i) rigorous complete and publicly available models of an official interface specification already in operation, (ii) identification of safety and interoperability issues in the original specification using Statistical Model Checking, (iii) quantification of costs for learning the adopted formal method and developing the carried out analysis."
SPRINGERLINK,Chapter,2021,Ontology-Driven Audit Using the REA-Ontology,Graham GalMonique SnoeckWim Laurier,"Model-driven engineering, Ontology, Smart contracts, Software audit",10,"While blockchains are not yet ubiquitous in business practice, they are expected to serve as a platform to handle an increasing number of business transactions in a not-too-distant future. Smart contracts can be used to code and to enforce agreements between business parties. A significant difference between traditional and smart contracts is that once the actual events of the smart contract become part of a block in the blockchain, they are almost impossible to undo. Therefore, it is important that critical validity aspects of these smart contracts are explicitly represented. As smart contracts are software products too, it is therefore also critical that the coding of these critical validity aspects guarantees a faithful implementation of the validity checks. This paper suggests applying a combination of two approaches (i.e., ontology engineering and model-driven engineering) to the design and the implementation of smart contracts, in order to facilitate their audit through a clear separation of concerns. More precisely, this paper discusses the example of the REA ontology to provide the ontological commitment of the critical validity aspects of a contract, while MDE provides a tool to unambiguously translate the REA ontology’s contracting terms into a well-designed Smart Contract. This paper suggests that the resulting Smart Contract can support auditors’ assertions regarding exchanges between business partners and support the audit process."
SPRINGERLINK,Chapter,2021,An Automated Modeling Method and Visualization Implementation of Smart Contracts,Jie MengZheng LiRuiliang ZhaoYing Shang,"Blockchain, EFSM, EFSMSolid, Formal definition, Smart contracts",10,"Smart contracts are one of the core components of the block-chain system and have been widely used across various fields. Since a smart contract cannot be easily changed or updated once instantiated, one has to be absolutely sure that the program code works as expected. However, there are no uniform definitions for smart contracts, and the programming of smart contracts requires professional developers with expert domain knowledge. This paper proposed a formal modeling method for start contracts. First, the formal definition of smart contracts is proposed. Second, we introduce an EFSM based modeling method for smart contracts. Finally, we design a visual modeling tool EFSMSolid for creating EFSM on an easy-to-use graphical platform. To verify the effectiveness of the method, we conduct experiments on smart contracts of five blockchain applications, and the experimental results show that the proposed method can automatically and effectively create smart contracts models."
SPRINGERLINK,Chapter,2021,Understanding Digital Twins for Cyber-Physical Systems: A Conceptual Model,Tao YuePaolo ArcainiShaukat Ali,"Conceptual model, Cyber-physical systems, Digital twins",10,"Digital Twins (DTs) are revolutionizing Cyber-Physical Systems (CPSs) in many ways, including their development and operation. The significant interest of industry and academia in DTs has led to various definitions of DTs and related concepts, as seen in many recently published papers. Thus, there is a need for precisely defining different DT concepts and their relationships. To this end, we present a conceptual model that captures various DT concepts and their relationships, some of which are from the published literature, to provide a unified understanding of these concepts in the context of CPSs. The conceptual model is implemented as a set of Unified Modeling Language (UML) class diagrams and the concepts in the conceptual model are explained with a running example of an automated warehouse case study from published literature and based on the authors’ experience of working with the real CPS case study in previous projects."
SPRINGERLINK,Chapter,2021,On Education and Training in Formal Methods for Industrial Critical Systems,Bernd Westphal,,10,"The 2020 expert survey on formal methods has put one topic into the focus of the formal methods for industrial critical systems community: education and training. Of three overall conclusions, the first one finds the survey to indicate “a consensus about the essential role of education”. At the same time, survey results and individual expert statements indicate largely open challenges. In this work, we analyse the 2020 expert survey results from an education and training perspective, and we discuss the proposal of an integrative approach with respect to these challenges. A central enabler for the integrated approach is the modern, inclusive interpretation of formal methods as put forth in the survey report and a differentiated understanding of roles (or stakeholders) in formal methods for industrial critical systems."
SPRINGERLINK,Chapter,2021,Privacy Design Strategies and the GDPR: A Systematic Literature Review,Marco SaltarellaGiuseppe DesoldaRosa Lanzilotti,"GDPR, Privacy by design, Usable privacy",10,"Article 25 of the GDPR states that data collection, processing and management measures should be implemented following tṇhe privacy by design and privacy by default paradigms. This paper presents a systematic literature review to identify useful guidelines to support the development of GDPR-compliant software. Selected papers are categorized under 8 different data-oriented and process-oriented strategies and their contributions are reported. Future activities will highlight the HCI community’s attitude towards these new technical and organizational approaches in order to bridge the identified gaps and shortcomings."
SPRINGERLINK,Chapter,2021,Testing Autogenerated OPC UA NodeSet Models for Product Variants in Industry,Claus KlammerThomas WetzlmaierMichael PfeifferThomas SteinerMatthias Konnerth,"Integration testing, Middleware, OPC UA, Test case generation",10,"Product line management activities have to ensure that offered product options are valid and compatible. With the arise of the Internet of Things (IoT) movement not only the own product compatibility has to be managed by the vendors anymore, but also the compliance and openness to standardized interfaces has to be supported as well. The Machine to Machine (M2M) communication protocol standard Open Platform Communications Unified Architecture (OPC UA) has received great attention in the field of mechanical engineering recently. In this industrial experience report we describe our approach how to support the testing of automatically generated models for OPC UA, by applying test case generation at the integration level. We show the feasibility of our approach and report about found issues, discuss some general findings and provide an outlook for future work."
SPRINGERLINK,Chapter,2020,Model-Based Testing Under Parametric Variability of Uncertain Beliefs,Matteo CamilliBarbara Russo,"Bayesian inference, Model-based Testing, Parametric Markov Decision Processes, Uncertainty analysis",10,"Modern software systems operate in complex and changing environments and are exposed to multiple sources of uncertainty. Considering uncertainty as a first-class concern in software testing is currently on an uptrend. This paper introduces a novel methodology to deal with testing under uncertainty. Our proposal combines the usage of parametric model checking at design-time and online model-based testing algorithms to gather runtime evidence and detect requirements violations. As modeling formalism, we adopt parametric Markov Decision Processes where transition probabilities are not fixed, but are possibly given as a set of uncertain parameters. The design-time phase aims at analyzing the parameter space to identify the constraints for requirements satisfaction. Then, the testing activity applies a Bayesian inference process to identify violations of pre-computed constraints. An extensive empirical evaluation shows that the proposed technique is effective in discovering violations and is cheaper than existing testing under uncertainty methods."
SPRINGERLINK,Chapter,2020,TesCaV: An Approach for Learning Model-Based Testing and Coverage in Practice,Beatriz MarínSofía AlarcónGiovanni GiachettiMonique Snoeck,"Coverage, Lessons learned, Model-Based Testing, Teaching/learning testing",10,"Academy and industry permanently remark the importance of software-testing techniques to improve software quality and to reduce development and maintenance costs. A testing method to be considered for this purpose is Model-Based Testing (MBT), which generates test cases from a model that represents the structure and the behavior of the system to be developed. The generated test suite is easier to maintain and adapt to changes in requirements or evolution of the developed system. However, teaching and learning MBT techniques are not easy tasks; students need to know the different testing techniques to assure that the requirements are fulfilled as well as to identify any failure in the software system modeled. In this work, we present TesCaV , an MBT teaching tool for university students, which is based on a model-driven technology for the automatic software generation from UML diagrams. TesCaV allows validating the test cases defined by students and graphically determines the level of testing coverage over the system modeled. Preliminary results show TesCaV as a promising approach for MBT teaching/learning processes."
SPRINGERLINK,Chapter,2020,Multi-path Coverage of All Final States for Model-Based Testing Theory Using Spark In-memory Design,Wilfried Yves Hamilton AdoniMoez KrichenTarik NahhalAbdeltif Elbyed,"Apache hadoop, Apache spark, Big data, Big graphs, Coverage, Model-based testing, Parallel and distributed computing",10,"This paper deals with an efficient and robust distributed framework for finite state machine coverage in the field model based testing theory. All final states coverage in large-scale automaton is inherently computing-intensive and memory exhausting with impractical time complexity because of an explosion of the number of states. Thus, it is important to propose a faster solution that reduces the time complexity by exploiting big data concept based on Spark RDD computation. To cope with this situation, we propose a parallel and distributed approach based on Spark in-memory design which exploits A* algorithm for optimal coverage. The experiments performed on multi-node cluster prove that the proposed framework achieves significant gain of the computation time."
SPRINGERLINK,Chapter,2020,Giving a Model-Based Testing Language a Formal Semantics via Partial MAX-SAT,Bernhard K. AichernigChristian Burghard,"Consistency checking, Formal semantics, Frame problem, Model transformation, Partial MAX-SAT, Partial moore machines",10,"Domain-specific Languages (DSLs) are widely used in model-based testing to make the benefits of modeling available to test engineers while avoiding the problem of excessive learning effort. Complex DSLs benefit from a formal definition of their semantics for model processing as well as consistency checking. A formal semantics can be established by mapping the model domain to a well-known formalism. In this paper, we present an industrial use case which includes a mapping from domain-specific models to Moore Machines, based on a Partial MAX-SAT problem, encoding a predicative semantics for the model-to-model mapping. We show how Partial MAX-SAT solves the frame problem for a non-trivial DSL in which the non-effect on variables cannot be determined statically. We evaluated the performance of our model-transformation algorithm based on models from our industrial use case."
SPRINGERLINK,Chapter,2020,Model-Based Testing for MQTT Applications,Kotaro TanabeYoshinori TanabeMasami Hagiya,,10,"Model-based testing is a widely-used vital technique for testing software running in a complex environment. In this paper, we propose extensions to existing model-based tools to apply this technique to software that employs the MQ Telemetry Transport (MQTT) protocol for transmitting messages, commonly used in the Internet of Things (IoT) environment. First, in the finite state machine used for generating test cases in a model-based testing framework, we introduce a type of transition that is triggered when receiving MQTT messages. Second, we extend the finite-state machine so that it produces test cases that reflect the characteristics of IoT software – a large number of relatively simple devices communicate with servers. Third, the concept of time is introduced into the finite state machine. Naturally, this is necessary for verifying the properties of software that runs for a long time. Moreover, to facilitate such verification, both real-time and virtual time are introduced. We implemented these extensions into a model-based testing tool, Modbat, and conducted a small experiment to confirm the feasibility, gaining positive results."
SPRINGERLINK,Chapter,2020,Automated Requirements-Based Testing of Black-Box Reactive Systems,Massimo NarizzanoLuca PulinaArmando TacchellaSimone Vuotto,"Automated testing and verification, Black-box conformance testing, Runtime verification",10,"We present a new approach to conformance testing of black-box reactive systems. We consider system specifications written as linear temporal logic formulas to generate tests as sequences of input/output pairs: inputs are extracted from the Büchi automata corresponding to the specifications, and outputs are obtained by feeding the inputs to the systems. Conformance is checked by comparing input/output sequences with automata traces to detect violations of the specifications. We consider several criteria for extracting tests and for stopping generation, and we compare them experimentally using both indicators of coverage and error-detection. The results show that our methodology can generate test suites with good system coverage and error-detection capability."
SPRINGERLINK,Chapter,2020,Interoperability and Integration Testing Methods for IoT Systems: A Systematic Mapping Study,Miroslav BuresMatej KlimaVaclav RechtbergerXavier BellekensChristos TachtatzisRobert AtkinsonBestoun S. Ahmed,"Automated testing, Integration, Internet of Things, Interoperability, Testing, Verification",10,"The recent active development of Internet of Things (IoT) solutions in various domains has led to an increased demand for security, safety, and reliability of these systems. Security and data privacy are currently the most frequently discussed topics; however, other reliability aspects also need to be focused on to maintain smooth and safe operation of IoT systems. Until now, there has been no systematic mapping study dedicated to the topic of interoperability and integration testing of IoT systems specifically; therefore, we present such an overview in this study. We analyze 803 papers from four major primary databases and perform detailed assessment and quality check to find 115 relevant papers. In addition, recently published testing techniques and approaches are analyzed and classified; the challenges and limitations in the field are also identified and discussed. Research trends related to publication time, active researchers, and publication media are presented in this study. The results suggest that studies mainly focus only on general testing methods, which can be applied to integration and interoperability testing of IoT systems; thus, there are research opportunities to develop additional testing methods focused specifically on IoT systems, so that they are more effective in the IoT context."
SPRINGERLINK,Chapter,2020,Improving and Optimizing Verification and Testing Techniques for Distributed Information Systems,Moez Krichen,"Distributed, Formal verification, Information systems, Model based testing, Optimization, Test component placement",10,"In this paper, we deal with two validation techniques which may be adopted for improving the quality and ensuring the correctness of Distributed Information Systems. These two techniques are Formal Verification and Model Based Techniques. The first one consists in checking the correctness of a mathematical model used to describe the behavior of the considered system before its implementation. The second technique consists in deriving tests suites from the adopted model, executing them and finally deducing verdicts about the correctness of this system under test. In both cases, we need to tackle the explosion state challenge which corresponds to the fact of reaching a very large space of states and consuming a very long time during the validation process. To solve this problem we propose a set of appropriate techniques taken from the literature. We also identify a set of techniques which may be used for the optimization of the test component placement procedure."
SPRINGERLINK,Chapter,2020,On the Automation of Security Testing for IoT Constrained Scenarios,Sara N. MatheuSalvador PérezJosé L. Hernández RamosAntonio Skarmeta,"IoT, Model-Based Testing (MBT), Security risk assessment, Security testing",10,"Due to the high increase of IoT technologies and devices, analyzing their security is crucial for their acceptance. Towards this end, an automated security testing approach should be considered as a cornerstone to cope with the business interests and the high fragmentation of new approaches. In particular, this work analyses the use of the Model-Based Testing (MBT) approach and specific technologies and tools to automate the generation of security tests. Then, we provide a detailed description of its application to the Elliptic Curve Diffie-Hellman over COSE (EDHOC) protocol, which is being defined within the scope of the Internet Engineering Task Force (IETF)."
SPRINGERLINK,Chapter,2020,Teaching Software Testing to Industrial Practitioners Using Distance and Web-Based Learning,Eduard Paul Enoiu,"Industrial practitioners, Online education, Software engineering education, Software testing education, Web-based learning",10,"Software testing is a business-critical process used by private and public organizations and an important source of market competitiveness. Employees of these organizations are facing tough competition and are required to be able to maintain and develop their skills and knowledge in software testing. In the education market, many commercial courses and certifications are available for industrial engineers who wish to improve their skills in software development. Nevertheless, there is a lack of access to world-leading research within the software testing field in these commercial courses that supports the companies’ innovation in software testing. As an alternative, universities are approaching this challenge by developing academic courses on software testing that can suit professionals who need to be able to combine work and studies. This study highlights several good approaches and challenges in developing and teaching three distance web-based software testing courses targeting test practitioners. The proposed approaches for enhancing teaching of software testing in an online setting for industrial practitioners are: active participation at the student’s pace, inclusion of software testing artifacts from the student’s organization as part of assignments, continuous access to online materials, the use of short video materials on testing theory, and setting clear expectations for performing online test design assignments. Finally, several challenges have been identified: poor feedback on assignments, distances between students and teachers, the use of non-realistic assignments and the difficulty for industrial practitioners to complete academic assignments each week. Future work is needed to explore these results in practice, for example on how to shorten distances between students and teachers, as well as how to enhance the inclusion of real-world testing artifacts in course assignments."
SPRINGERLINK,Chapter,2020,Benchmarking Combinations of Learning and Testing Algorithms for Active Automata Learning,Bernhard K. AichernigMartin TapplerFelix Wallner,"Active automata learning, Conformance testing, LearnLib, Model learning, Model-based testing",10,"Active automata learning comprises techniques for learning automata models of black-box systems by testing such systems. While this form of learning enables model-based analysis and verification, it may also require a substantial amount of interactions with considered systems to learn adequate models, which capture the systems’ behaviour. The test cases executed during learning can be divided into two categories: (1) test cases to gain knowledge about a system and (2) test cases to falsify a learned hypothesis automaton. The former are selected by learning algorithms, whereas the latter are selected by conformance-testing algorithms. There exist various options for both types of algorithms and there are dependencies between them. In this paper, we investigate the performance of combinations of four different learning algorithms and seven different testing algorithms. For this purpose, we perform learning experiments using 39 benchmark models. Based on experimental results, we discuss insights regarding the performance of different configurations for various types of systems. These insights may serve as guidance for future users of active automata learning."
SPRINGERLINK,Chapter,2020,Flexible Formality Practical Experience with Agile Formal Methods,Philipp KantKevin HammondDuncan CouttsJames ChapmanNicholas ClarkeJared CorduanNeil DaviesJavier DíazMatthias GüdemannWolfgang JeltschMarcin SzamotulskiPolina Vinogradova,,10,"Agile software development and Formal Methods are traditionally seen as being in conflict. From an Agile perspective, there is pressure to deliver quickly , building vertical prototypes and doing many iterations/sprints, refining the requirements; from a Formal Methods perspective, there is pressure to deliver correctly and any change in requirements often necessitates changes in the formal specification and might even impact all arguments of correctness. Over the years, the need to “be agile” has become a kind of mantra in software development management, and there is a prevalent prejudice that using formal methods was an impediment to being agile. In this paper, we contribute to the refutation of this stereotype, by providing a real-world example of using good practices from formal methods and agile software engineering to deliver software that is simultaneously reliable, effective, testable, and that can also be iterated and delivered rapidly. We thus present how a lightweight software engineering methodology, drawing from appropriate formal methods techniques and providing the benefits of agile software development, can look like. Our methodology is informed and motivated by practical experience. We have devised and adapted it in the light of experience in delivering a large-scale software system that needs to meet complex real-world requirements: the Cardano blockchain and its cryptocurrency ada. The cryptocurrency domain is a rather new application area for which no clear engineering habit exists, so it is fitting well for agile methods. At the same time, there is a lot of real monetary value at stake, making it a good fit for using formal methods to ensure high quality and correctness. This paper reports on the issues that have been faced and overcome, and provides a number of real-world lessons that can be used to leverage the benefits of both agile and formal methods in other situations."
SPRINGERLINK,Chapter,2020,From Requirements to Automated Acceptance Tests with the RSL Language,Ana C. R. PaivaDaniel MacielAlberto Rodrigues da Silva,"Model-based Testing (MBT), Requirements Specification Language (RSL), Test case execution, Test case generation, Test case specification",10,"Software testing can promote software quality. However, this activity is often performed at the end of projects where failures are most difficult to correct. Combining requirements specification activities with test design at an early stage of the software development process can be beneficial. One way to do this is to use a more structured requirements specification language. This allow to reduce typical problems such as ambiguity, inconsistency, and incorrectness in requirements and may allow the automatic generation of (parts of) acceptance test cases reducing the test design effort. In this paper we discuss an approach that promotes the practice of requirements specification combined with testing specification. This is a model-based approach that promotes the alignment between requirements and tests, namely, test cases and also low-level automated test scripts. To show the applicability of this approach, we integrate two complementary languages: (i) the ITLingo RSL (Requirements Specification Language) that is specially designed to support both requirements and tests rigorously and consistently specified; and (ii) the Robot language, which is a low-level keyword-based language for specifying test scripts. This approach includes model-to-model transformation processes, namely a transformation process from requirements (defined in RSL) into test cases (defined in RSL), and a second transformation process from test cases (in RSL) into test scripts (defined according the Robot framework). This approach was applied in a fictitious online store that illustrates the various phases of the proposal."
SPRINGERLINK,Chapter,2020,From Passive to Active: Learning Timed Automata Efficiently,Bernhard K. AichernigAndrea PferscherMartin Tappler,"Active automata learning, Genetic programming, Model inference, Model learning, Timed automata",10,"Model-based testing is a promising technique for quality assurance. In practice, however, a model is not always present. Hence, model learning techniques attain increasing interest. Still, many learning approaches can only learn relatively simple types of models and advanced properties like time are ignored in many cases. In this paper we present an active model learning technique for timed automata. For this, we build upon an existing passive learning technique for real-timed systems. Our goal is to efficiently learn a timed system while simultaneously minimizing the set of training data. For evaluation we compared our active to the passive learning technique based on 43 timed systems with up to 20 locations and multiple clock variables. The results of $$18\,060$$ 18 060 experiments show that we require only 100 timed traces to adequately learn a timed system. The new approach is up to 755 times faster."
SPRINGERLINK,Chapter,2020,Aplib: Tactical Agents for Testing Computer Games,I. S. W. B. PrasetyaMehdi DastaniRui PradaTanja E. J. VosFrank DignumFitsum Kifetew,"Agents tactical programming, AI for automated testing, Automated game testing, Intelligent agent programming, Intelligent agents for testing",10,"Modern interactive software, such as computer games, employ complex user interfaces. Although these user interfaces make the games attractive and powerful, unfortunately they also make them extremely difficult to test. Not only do we have to deal with their functional complexity, but also the fine grained interactivity of their user interface blows up their interaction space, so that traditional automated testing techniques have trouble handling it. An agent-based testing approach offers an alternative solution: agents’ goal driven planning, adaptivity, and reasoning ability can provide an extra edge towards effective navigation in complex interaction space. This paper presents aplib , a Java library for programming intelligent test agents, featuring novel tactical programming as an abstract way to exert control over agents’ underlying reasoning-based behavior. This type of control is suitable for programming testing tasks. Aplib is implemented in such a way to provide the fluency of a Domain Specific Language (DSL). Its embedded DSL approach also means that aplib programmers will get al.l the advantages that Java programmers get: rich language features and a whole array of development tools ."
SPRINGERLINK,Chapter,2020,Test Automation with the Gauge Framework: Experience and Best Practices,Vahid GarousiAlper Buğra KeleşYunus BalamanZeynep Özdemir Güler,"Best practices, Gauge framework, Industrial experience, Software testing, Test automation",10,"While Behavior-driven development (BDD) tools such as Cucumber are powerful tools for automated testing, they have certain limitations. For example, they often enforce strict syntax for test cases, like the “Given-When-Then” format, which may not always be easy to write for a given test case. A new test automation framework named Gauge ( gauge.org ) addresses that limitation since it does not prescribe the BDD testing process with a strict syntax. In Gauge, writing a test case is as easy as writing down the flow of test cases in several itemized sentences in a natural language, like English. In the context of Testinium ( testinium.com ), a large software testing company which provides software testing services, tools and solutions to a large number of clients, we have actively used the Gauge framework since 2018 to develop large automated front-end test suites for several large web applications. In this paper/talk, the speakers will share several examples and best practices of developing automated tests in natural-language requirements using the Gauge framework. By learning from the ideas presented in the talk, readers (attendees) will be able to consider applying the Gauge framework in their own test automation projects."
SPRINGERLINK,Chapter,2020,"A Model-Based Approach to the Design, Verification and Deployment of Railway Interlocking System",Arturo AmendolaAnna BecchiRoberto CavadaAlessandro CimattiAlberto GriggioGiuseppe ScaglioneAngelo SusiAlberto TacchellaMatteo Tessi,"Code generation, Formal verification, Functional specifications, Interlocking Systems, Model-based design",10,"This paper describes a model-based flow for the development of Interlocking Systems. The flow starts from a set of specifications in Controlled Natural Language (CNL), that are close to the jargon adopted in by domain experts, but fully formal. From the CNL, a complete SysML specification is extracted, leveraging various forms of diagrams, and enabling automated code generation. Several formal verification methods are supported. A complementary part of the flow supports the extraction of formal properties from legacy Interlocking Systems designed as Relay circuits. The flow is implemented in a comprehensive toolset, and is currently used by railway experts."
SPRINGERLINK,Chapter,2020,Test4Enforcers: Test Case Generation for Software Enforcers,Michell GuzmanOliviero RiganelliDaniela MicucciLeonardo Mariani,"Android apps, Runtime enforcement, Test case generation, Testing enforcers",10,"Software enforcers can be used to modify the runtime behavior of software applications to guarantee that relevant correctness policies are satisfied. Indeed, the implementation of software enforcers can be tricky, due to the heterogeneity of the situations that they must be able to handle. Assessing their ability to steer the behavior of the target system without introducing any side effect is an important challenge to fully trust the resulting system. To address this challenge, this paper presents Test4Enforcers, the first approach to derive thorough test suites that can validate the impact of enforcers on a target system. The paper also shows how to implement the Test4Enforcers approach in the DroidBot test generator to validate enforcers for Android apps."
SPRINGERLINK,Chapter,2020,Trace Analysis Using an Event-Driven Interval Temporal Logic,María-del-Mar GallardoLaura Panizo,,10,"Nowadays, many critical systems can be characterized as hybrid ones, combining continuous and discrete behaviours that are closely related. Changes in the continuous dynamics are usually fired by internal or external discrete events. Due to their inherent complexity, it is a crucial but not trivial task to ensure that these systems satisfy some desirable properties. An approach to analyze them consists of the combination of model-based testing and run-time verification techniques. In this paper, we present an interval logic to specify properties of event-driven hybrid systems and an automatic transformation of the logic formulae into networks of finite-state machines. Currently, we use Promela / Spin to implement the network of finite-state machines, and analyze non-functional properties of mobile applications. We use the TRIANGLE testbed, which implements a controllable network environment for testing, to obtain the application traces and monitor network parameters."
SPRINGERLINK,Chapter,2020,The 2020 Expert Survey on Formal Methods,Hubert GaravelMaurice H. ter BeekJaco van de Pol,"Cybersecurity, Education, Formal method, Modelling, Safety, Software engineering, Software tool, Specification, Survey, Technology transfer, Verification",10,"Organised to celebrate the 25th anniversary of the FMICS international conference, the present survey addresses 30 questions on the past, present, and future of formal methods in research, industry, and education. Not less than 130 high-profile experts in formal methods (among whom three Turing award winners and many recipients of other prizes and distinctions) accepted to participate in this survey. We analyse their answers and comments, and present a collection of 111 position statements provided by these experts. The survey is both an exercise in collective thinking and a family picture of key actors in formal methods."
SPRINGERLINK,Chapter,2020,A General Framework for Decentralized Combinatorial Testing of Access Control Engine: Examples of Application,Said DaoudaghFrancesca LonettiEda Marchetti,"Access control systems, Oracle, Testing, Web service, XACML",10,"Access control mechanisms aim to assure data protection in modern software systems. Testing of such mechanisms is a key activity to avoid security flaws and violations inside the systems or applications. In this paper, we introduce the general architecture of a new decentralized framework for testing of XACML-based access control engines. The proposed framework is composed of different web services and can be instantiated for different testing purposes: i) generation of test cases based on combinatorial testing strategies; ii) distributed test cases execution; iii) decentralized oracle derivation able to associate the expected authorization decision to a given XACML request. The effectiveness of the framework has been proven into two different experiments. The former addressed the evaluation of the distributed vs non distributed testing solution. The latter focused on the performance comparison of two distributed oracle approaches."
SPRINGERLINK,Chapter,2020,An Architecture for Automated Security Test Case Generation for MQTT Systems,Hannes SochorFlavio FerrarottiRudolf Ramler,"Automated testing, IoT, MQTT, Security testing",10,"Message Queuing Telemetry Transport (MQTT) protocol is among the preferred publish/subscribe protocols used for Machine-to-Machine (M2M) communication and Internet of Things (IoT). Although the MQTT protocol itself is quite simple, the concurrent iteration of brokers and clients and its intrinsic non-determinism, coupled with the diversity of platforms and programming languages in which the protocol is implemented and run, makes the necessary task of security testing challenging. We address precisely this problem by proposing an architecture for security test generation for systems relying on the MQTT protocol. This architecture enables automated test case generation to reveal vulnerabilities and discrepancies between different implementations. As a desired consequence, when implemented, our architectural design can be used to uncover erroneous behaviours that entail latent security risks in MQTT broker and client implementations. In this paper we describe the key components of our architecture, our prototypical implementation using a random test case generator, core design decisions and the use of security attacks in testing. Moreover, we present first evaluations of the architectural design and the prototypical implementation with encouraging initial results."
SPRINGERLINK,Chapter,2020,"Uncertainty, Modeling and Safety Assurance: Towards a Unified Framework",Marsha ChechikSahar KokalyMona RahimiRick SalayTorin Viger,,10,"Uncertainty occurs naturally in software systems, including those that are model-based. When such systems are safety-critical, they need to be assured, e.g., by arguing that the system satisfies its safety goals. But how can we rigorously reason about assurance in the presence of uncertainty? In this paper, we propose a vision for a framework for managing uncertainty in assurance cases for software systems, and in particular, for model-based software systems, by systematically identifying , assessing and addressing it. We also discuss a set of challenges that need to be addressed to realize this framework."
SPRINGERLINK,Chapter,2020,Learning Abstracted Non-deterministic Finite State Machines,Andrea PferscherBernhard K. Aichernig,"Active automata learning, Model inference, MQTT, Non-deterministic finite state machines",10,"Active automata learning gains increasing interest since it gives an insight into the behavior of a black-box system. A crucial drawback of the frequently used learning algorithms based on Angluin’s $$L^*$$ L ∗ is that they become impractical if systems with a large input/output alphabet are learned. Previous work suggested to circumvent this problem by abstracting the input alphabet and the observed outputs. However, abstraction could introduce non-deterministic behavior. Already existing active automata learning algorithms for observable non-deterministic systems learn larger models if outputs are only observable after certain input/output sequences. In this paper, we introduce an abstraction scheme that merges akin states. Hence, we learn a more generic behavioral model of a black-box system. Furthermore, we evaluate our algorithm in a practical case study. In this case study, we learn the behavior of five different Message Queuing Telemetry Transport (mqtt) brokers interacting with multiple clients."
SPRINGERLINK,Chapter,2020,Language Inclusion for Finite Prime Event Structures,Andreas FellnerThorsten TarrachGeorg Weissenbacher,"Concurrency, Event structures, Language inclusion, Mutation-based test case generation",10,"We study the problem of language inclusion between finite, labeled prime event structures. Prime event structures are a formalism to compactly represent concurrent behavior of discrete systems. A labeled prime event structure induces a language of sequences of labels produced by the represented system. We study the problem of deciding inclusion and membership for languages encoded by finite prime event structures and provide complexity results for both problems. We provide a family of examples where prime event structures are exponentially more succinct than formalisms that do not take concurrency into account. We provide a decision algorithm for language inclusion that exploits this succinctness. Furthermore, we provide an implementation of the algorithm and an evaluation on a series of benchmarks. Finally, we demonstrate how our results can be applied to mutation-based test case generation."
SPRINGERLINK,Chapter,2020,Interrogating Virtual Agents: In Quest of Security Vulnerabilities,Josip BozicFranz Wotawa,"Chatbots, Model-based testing, Security testing, Web applications",10,"Chatbots, i.e., systems that communicate in natural language, have been of increasing importance over the last few years. These virtual agents provide specific services or products to clients on a 24/7 basis. Chatbots provide a simple and intuitive interface, i.e., natural language processing, which makes them increasingly attractive for various applications. In fact, chatbots are used as substitutes for repetitive tasks or user inquiries that can be automated. However, these advantages always are accompanied with concerns, e.g., whether security and privacy can be assured. These concerns become more and more important, because in contrast to simple requests, more sophisticated chatbots are able to utilize personalized services to users. In such cases, sensitive user data are processed and exchanged. Hence, such systems become natural targets for cyber-attacks with unforeseen consequences. For this reason, assuring information security of chatbots is an important challenge in practice. In this paper, we contribute to this challenge and introduce an automated security testing approach for chatbots. The presented framework is able to generate and run tests in order to detect intrinsic software weaknesses leading to the XSS vulnerability. We assume a vulnerability to be triggered when obtaining critical information from or crashing the virtual agent, regardless of its purpose. We discuss the underlying basic foundations and demonstrate the testing approach using several real-world chatbots."
